id,en,cn
intro,"IsoplotR is an R package for geochronology that was designed to be free, flexible and future-proof. The package was named after but is not based on Ken Ludwig's popular Isoplot add-in to Microsoft Excel. It implements functions for U-Pb, Pb-Pb, <sup>40</sup>Ar/<sup>39</sup>Ar, K-Ca, Rb-Sr, Sm-Nd, Lu-Hf, Re-Os, U-Th-He, fission track and U-series disequilibrium dating as well as detrital geochronology.
<p></p>
This website provides easy to use point-and-click access to IsoplotR's most commonly used functions (see the <a href='#' onclick='$.tutorial();'>TUTORIAL</a> for details).  Alternatively, the same functions (and more) can also be accessed from the command-line through the IsoplotR package on <a href='https://cran.r-project.org/package=IsoplotR'>CRAN</a> and <a href='https://github.com/pvermees/IsoplotR/'>GitHub</a>.
<p></p>","IsoplotR 是由 Pieter Vermeesch 使用 R 语言编写的开源软件,致敬了 Ken Ludwig 当年编写的 Excel 插件 Isoplot. 本程序支持如下的同位素组 合: U-Pb, Pb-Pb, <sup>40</sup>Ar/<sup>39</sup>Ar, K-Ca, Rb-Sr, Sm-Nd, Lu-Hf, Re-Os, U-Th-He, 裂变径迹(fission track)以及U系列元素 的不平衡定年(U-series disequilibrium dating),还有碎屑锆石的年代学 数据(detrital geochronology).
<p></p>
这个翻译是由<a href='https://github.com/cycleuser'>CycleUser</a> 编写的. 目的是为中文用户提供一个简单易用的图形界面, 以使用 IsoplotR 所提供的基本功能 (更多简介请点击 <a href='#' onclick='$.tutorial();'>这里来访问简单指南</a> 获取更多 信息). 其实这里的图形界面所包含的功能以及更多可定制的功能都可以通过 命令行版本的 IsoplotR 包来实现, 现已托管 在 <a href='https://cran.r-project.org/package=IsoplotR'>CRAN</a>.
<p></p>"
tutorial-title,Tutorial,简单指南
tutorial-gui,"1. <tt>IsoplotR</tt>'s graphical user interface (GUI) has four components: a top bar with selection menus for the various chronometers and plot devices, optional settings and documentation; an input table into which data can be pasted from spreadsheet applications; an output window displaying the graphical or numerical results; and a lower bar to import and export data and results.","1. <tt>IsoplotR</tt>的图形界面有四个主要的控制部分: 顶部菜单可以来选择所使用的同位素组合以及投图的设置选项, 还有帮助文档. 底部的输入和存储菜单, 可以打开本地文件进行数据导入,还可以将做好的图保存下来. 右侧的是投图输出的界面, 生成的图像就在这部分县市. 左侧的是表格化的数据显示界面, 导入的数据就在这里面."
tutorial-alternative-formats,2. Alternative input formats are available through the <tt>Options</tt> menu.,2. 点击 <tt>Options</tt> 按钮可以调整所用的文档格式.
tutorial-contextual-help,3. Contextual help can be accessed by clicking on any text within the <tt>Options</tt> menu.,3. 在 <tt>Options</tt>菜单内有很多内置的上下文帮助文档对一 些概念做了简要的解释.
tutorial-further-documentation,"4. Further documentation is provided under the <tt>Help</tt> menu. This includes information about the input and output parameters, and a brief summary of the theoretical background with essential references.","4. 点击<tt>Help</tt>菜单可以看到详细的文档.其中包括输入输 出的参数,还包含本软件所用的理论基础的概要总结,以及相关的参 考文献出处."
tutorial-saving,5. Data and settings can be saved in a <tt>.json</tt>  database format for future use.,"5. 数据以及投图设置等等都可以用<tt>.json</tt> 的格式来保存,这 种保存好的文件还可以随时加载到程序中去."
help-exterr,Propagate systematic uncertainties?,传播系统的不确定性?
ArAr-format-1,1. Normal,1.正常
ArAr-format-2,2. Inverse,2.相反
